SENTENCE,FOS CODE
"           সরকারী যা আইনকানুন তাহার যাথাযথ্য                   অটুট, তবু যাত্রীজনের পৃথক বিশেষত্ব                         রুদ্ধদুয়ার ক্যাবিনগুলোয় ঢাকা ;                   এক চলনের মধ্যে চালায় ভিন্ন ভিন্ন চাকা,                                          ভিন্ন ভিন্ন চাল।",2
"নদীটির শ্বাসে সে-রাতেও হিম হ’য়ে আসে বাঁশপাতা—মরা ঘাস—আকাশের তারা, বরফের মতো চাঁদ ঢালিছে ফোয়ারা; ধানখেতে মাঠে জমিছে ধোঁয়াটে ধারালো কুয়াশা, ঘরে গেছে চাষা; ঝিমায়েছে এ-পৃথিবী, তবু আমি পেয়েছি যে টের কার যেন দুটো চোখে নাই এ-ঘুমের কোনো সাধ।",3
"আগুন-পাথার পেরিয়ে পথিক যখন অনেক দূরে কাঁদল ব্যথার সুরে বনের মেয়ের ভালোবাসা নামল তখন বাঁধনহারা শ্রাবণধারার মতো, অ-বেলা হায় সময় তখন গত!","1, 3"
তোমার মন যেন এক বিশাল সাগর।,1
"               কিছু বা আপন তার, অনেক কিছুই তার পর।",0
                               ধরাতলে                       চঞ্চলতা সব-আগে নেমেছিল জলে।,3
শুধু         ভোরের কিরণ এসে   তারে       মুকুট পরায় হেসে।,"2, 3"
                   ঝুড়িসুদ্ধ মাটিতে ফেলে চলে গেলুম।,0
"সিরাজগঞ্জে বিরাট মিটিং,                 তুলো-বের-করা বালিশ;  বংশু ফকির ভাঙা চৌকির                 পায়াতে লাগায় পালিশ।",1
"রাবণের দশ মুণ্ডে নেমেছে                  বকুনি ছাড়ায়ে মাত্রা;  নেড়ানেড়ি দলে হরি-হরি বলে,                 শেষ হল রামযাত্রা।",3
"রাত্তিরে কেন হল মর্জি, চুল কাটে চাঁদনির দর্জি।",0
"চুমরিয়ে দিল তার জুলফি, নাপিত আদায় করে full fee।",0
"চাঁদনির রাঁধ্‌নি সে আসে যায়, বঁড়শি-বেহালা থেকে বাসে যায়।",0
"ভবুরাম ওর পাড়াপড়শী, বেচে সে লাঠাই আর বঁড়শি।",0
"আর বেচে যাত্রার বেয়ালা, আর বেচে চা খাবার পেয়ালা।",0
"চা খেয়ে সে দিল ঘুম তখুনি, সইল না গিন্নির বকুনি।",5
"কটকের নেত্ত মজুমদার, সে বটে সুবিখ্যাত ঘুমদার।",5
কলু সিং দেয় তারে পাক্কা তিন মণ ওজনের ধাক্কা।,5
"হাই তুলে বলে, এ কী ঠাট্টা— ঘড়িতে যে সবে সাড়ে-আটটা।",0
"তাই দেখে গলাভাঙা পালোয়ান বাজখাঁই সুরে বলে, আলো আন্‌।",2
"নীচে থেকে বলে হেঁকে রহমৎ, বাংলা জবানি তুমি কহো মৎ।",0
ও দিকে মাথায় বেঁধে তোয়ালে ভিখুরাম নাচে তার গোয়ালে।,0
"তোয়ালেটা পাদরির ভাইঝির, মোজা-জোড়া খড়দার বাইজির।",0
"পিরানের পাড়ে দেয় চুমকি, ইরানেতে সেলাইয়ের ধুম কী।",5
বোগদাদে তাই যাবে আলাদিন শাশুড়ি যতই ঘরে তালা দিন।,2
"শাশুড়ি মুখঢাকা বুর্খায়, পাছে তারে ঠেলা মারে গুর্খায়।",5
"চুরি গেছে গুর্খার ভেঁপুটি, এজলাসে চিন্তিত ডেপুটি।",0
"ডেপুটির জুতো মোড়া সাটিনেই, কোনোখানে দাঁতনের কাঠি নেই।",2
"দাঁতনের খোঁজে লাগে খটকা, পেয়াদা ঘি আনে তিন মটকা।",5
"গাওয়া ঘি সে নয়, সে-যে ভরসা— সের-করা দাম পাঁচ পয়সা।",0
"বাবু বলে, দাম খুব জেয়াদা, কাজে ইস্তফা দিল পেয়াদা।",0
উমেদার এল আজ পয়লা গোয়াড়ির যত গোড়ো গয়লা।,1
"পয়লার ঘরে হাঁড়ি চড়ে না, পদ্মরে ছেড়ে খাঁদু নড়ে না।",1
"পদ্ম সেদিন মহা বিব্রত, বুধবারে ছিল তার কী ব্রত।",0
"ভাশুর পড়ল এসে সুমুখে, দুধ খেয়ে নিল এক চুমুকে।",5
"চেপে এল লজ্জা শরমটা, টেনে দিল দেড়-হাত ঘোমটা।","3, 5"
"চুঁচড়োয় বাড়ি হরিমোহনের, গঙ্গায় স্নানে গেছে গ্রহণের।",0
সঙ্গে নিয়েছে চার গণ্ডা বেছে বেছে পালোয়ান ষণ্ডা।,1
"তাল ঠোকে রামধন মুন্সি, কোমরেতে তিন পাক ঘুন্সি।",5
"দিদি বলে,মুখ তোর ফ্যাকাশে, ভালো করে ডাক্তার দেখাসে।",0
"বলে ওঠে তিনকড়ি পোদ্দার, আগে তুই উকিলের শোধ্‌ ধার।",1
"ভিখু শুনে কেঁদে চোখ রগড়ায়, একদম  চলে গেল মগরায়।",0
ননদের ঘরে ক’রে ঘি চুরি তখনি চড়িয়ে দিল খিচুড়ি।,5
"হল না তো চালে ডালে মেলানো, মুশকিল হবে ওটা গেলানো।",0
"সাড়া পায় মাছওয়ালা মিন্সের; বলে, পাকা রুই চাই তিন সের।",0
"বনমালী মাছ আনে গামছায়; বলে, ও যে এক্ষুনি দাম চায়।",0
"আচ্ছা, সে দেখা যাবে কালকে— ব’লেই সে চলে গেল শালকে।",5
"মুন্সি যখন লেখে তৌজি, জলে নামে শালকের বউ ঝি।",0
শাল্‌কের ঘাটে ভাঙা পাল্কি; কালু যাবে বানিচঙে কাল কি।,0
"বানিচঙে ঢেঁকি পাকা-গাঁথ্‌নি, ধান কাটে কালুদার নাৎনি।",0
"বানিচঙ কোন্‌ দেশে কোন্‌ গাঁয়, কে জানে সে যশোরে কি বনগাঁয়।",0
"ফুটবলে বনগাঁর মোক্তার যত হারে, তত বাড়ে রোখ তার।",0
"তার ছেলে হরেরাম মিত্তির, আঁক ক’ষে ব্যামো হল পিত্তির।",5
"মুখ চোখ হয়ে গেল হলদে, ওরে ওকে পলতার ঝোল দে।",0
"পলতা কিনতে গেল ধুবড়ি, কিনল গুগলি এক-চুবড়ি।",0
"হুগলির গুগলি কী মাগগি, ভাঙা হাটে পাওয়া গেল ভাগ্যি।",0
"ধুবড়িতে মানকচু সস্তা, ফাউ পেল কাগজ দু বস্তা।",0
"দেখে বলে নীলমণি সরকার— কাগজে হরুর খুব দরকার; জ্যামিতি অতীত তার সাধ্যর, যতই করুন তারে মারধোর।",0
কাগজে বসিয়ে রেখে নারকেল পেন্সিলে কাটে ব’সে সার্‌কেল।,0
সার্‌কেল কাটতে সে কী বুঝে খামকাই ঠেকে গেল ত্রিভুজে।,0
"সইতে পারে না তার চাপুনি, পালাজ্বরে দিল তারে কাঁপুনি।",0
শ্রাদ্ধবাড়িতে লেগে ঠাণ্ডা হেঁচে মরে ত্রিবেণীর পাণ্ডা।,5
"অবেলায় খেতে বসে দারোগা, শির শির ক’রে ওঠে তারো গা।",4
টাট্টু ঘোড়ার এক গাড়িতে ডাক্তার এল তার বাড়িতে।,0
"সে-ঘোড়াটা বেড়া ভাঙে নন্দর, চিহ্ন রাখে না খেত-খন্দর।",5
"নন্দ বিকেলে গেল হাবড়ায়, সারি সারি গাড়ি দেখে ঘাবড়ায়।",5
"গোনে ব’সে, তিন চার পাঁচ সাত, আউড়িয়ে যায় সারা ধারাপাত।",0
"গুনে গুনে পারে না যে থামতে, গল্‌গল্‌ ক’রে থাকে ঘামতে।",4
"নয় দশ বারো তেরো চোদ্দ, মনে পড়ে পয়ারের পদ্য।",1
"কাশীরাম দাসে আনে পুণ্য, দশে আর বিশে লাগে শূন্য।",1
"“কাশীরম কাশীরাম’ বোল দেয়, সারাদিন মনে তার দোল দেয়।",3
"আঁকগুলো মাথা থাকে ঘোলাতে, নন্দ ছুটেছে হাটখোলাতে।",3
"হাটখোলা শ্বশুরের গদি তার— সেইখানে বাসা মেলে যদি তার এক সংখ্যায় মন দেবে ঝাঁপ, তার চেয়ে বেশি হলে হবে পাপ।",0
"আর নয়, আর নয়, আর নয়— কখনোই দুই তিন চার নয়।",0
"আজ হল রবিবার, খুব মোটা বহরের কগজের এডিশন; যত আছে শহরের কানাকানি, যত আছে আজগবি সংবাদ, যায় নিকো কোনোটার একটুও রঙ বাদ।","2, 4"
"“বার্তাকু’ লিখে দিল, গুজরানওয়ালায় দলে দলে জোট করে পাঞ্জাবি গোয়ালায়।",12
"বলে তারা, গোরু পোষা গ্রাম্য এ কারবার প্রগতির যুগে আজ দিন এল ছাড়বার।",0
আজ থেকে প্রত্যহ রাত্তির পোয়ালেই বসবে প্রেপরিটরি ক্লাস এই গোয়ালেই।,0
স্তূপ রচা দুই বেলা খড়-ভুষি-ঘাসটার ছেড়ে দিয়ে হবে ওরা ইস্কুলমাস্টার।,1
হম্বাধ্বনি যাহা গো-শিশু গো-বৃদ্ধের অন্তর্ভূত হবে বই-গেলা বিদ্যের।,3
যত অভ্যেস আছে লেজ ম’লে পিটোনো ছেলেদের পিঠে হবে পেট ভ’রে মিটোনো।,0
"“গদাধরে’ রেগে লেখে, এ কেমন ঠাট্টা— বার্তাকু পরে পরে সাতটা কি আটটা যা লিখেছে সব কটা সমাজের বিরোধী, মতগুলো প্রগতির দ্বার আছে নিরোধি।",3
"সেদিন সে লিখেছিল, ঘুঁটে চাই চালানো, শহরের ঘরে ঘরে ঘুঁটে হোক জ্বালানো।",0
"কয়লা ঘুঁটেতে যেন সাপে আর নেউলে, ঝড়িয়াকে করে দিক একদম দেউলে।","1, 3"
সেনেট হাউস আদি বড়ো বড়ো দেয়ালী শহরের বুক জুরে আছে যেন হেঁয়ালি।,1
"ঘুঁটে দিয়ে ভরা হোক, এই এক ফতোয়ায় এক দিনে শহরের বেড়ে যাবে কত আয়।",0
গোয়ালারা চোনা যদি জমা করে গামলায় কত টাকা বাঁচে তবে জল-দেওয়া মামলায়।,2
"বার্তাকু কাগজের ব্যঙ্গে যে গা জ্বলে, সুন্দর মুখ পেলে লেপে ওরা কাজলে।",5
"এ-সকল বিদ্রূপে বুদ্ধি যে খেলো হয়, এ দেশের আবহাওয়া ভারি এলোমেলো হয়।",4
"গদাধর কাগজের ধমকানি থামল, হেসে উঠে বার্তাকু যুদ্ধেতে নামল।",5
"বলে, ভায়া, এ জগতে ঠাট্টাসে ঠাট্টাই— গদাধর, গদা রেখে লও সেই পাঠটাই।",5
মাস্টার না হয়ে যে হলে তুমি এডিটর এ লাগি তোমার কাছে দেশটাই ক্রেডিটর।,1
"এডুকেশনের পথে হয় নি যে মতি তব, এই পুণ্যেই হবে গোকুলেই গতি তব।",5
অবশেষে এ দুখানা কাগজের আসরে বচসার ঝাঁজ দেখে ভয়ে কথা না সরে।,2
সিউড়িতে হরেরাম মৈত্তির পাঁজি দেখে সতেরোই চৈত্তির।,0
"বলে, আজ যেতে হবে মথুরায়।",0
সেথা তার মামা আছে সতু রায়।,0
বেস্পতিবারে গাড়ি চড়ে তার চাকা ভাঙে নরসিংগড়ে তার।,0
"তাই তার যাত্রাটা ঘুরুলে, ফিরে এসে চলে গেল সুরুলে।",1
"ঠিক হল যেতে হবে পেশোয়ার, সেথা আছে সেজো মাসি মেসো আর।",0
"এসে দেখে-একা আছে বউ সে, মেসো গেছে পানিপথে পৌষে।",0
"হাথুয়ার কাছাকাছি না যেতেই, বাঙালি সে ধরা পড়ে সাজেতেই।",0
"চোখ রাঙা ক’রে বলে দারোগা, থানামে লে কর্‌ হম মারো গা।",5
ছোটো ভাই বেঁধে চিঁড়ে মুড়কি সন্ন্যাসী হয়ে গেল রুড়কি।,0
"ঠোক্কর খেয়ে পড়ে বোঁচকায়, কুক্ষণে পা দুখানা মোচকায়।",0
"শেষে গেল সুলতানপুরে সে, গান ধরে মূলতান সুরে সে।",0
বেলাশেষে এল যবে বাম্‌ড়ায় কী ভীষণ মশা তাকে কামড়ায়।,0
"বুঝলে সে শান্ত যে হওয়া দায়, গোরুর গাড়িতে চলে নওয়াদায়।",0
গোরুটা পড়ল মুখ থুবড়ি ক্রোশ দুই থাকতেই ধুবড়ি।,1
"কাটিহারে তুলে তাকে ধরল, তখন সে পেট ফুলে মরল।",0
"শুনেছে তিসির খুব নামো দর, তাই পাড়ি দিতে গেল দামোদর।",0
"দামোদরে বুধুরাম খেয়া দেয়, চেপে বসে ডেপুটির পেয়াদায়।",0
শংকর ভোরবেলা চুঁচড়োয়।,0
হাউ-হাউ শব্দে গা মুচড়োয়।,4
নাড়াজোলে বড়োবাবু তখুনি শুরু করে বংশুকে বকুনি।,5
"বংশুর যত হোক খাটো আয়, তবু তার বিয়ে হবে কাটোয়ায়।",0
বাঁধা হুঁকো বাঁধা নিয়ে খড়দার ধার দিলে মতিরাম সর্দার।,0
"“শাঁখা চাই’ বলতেই শাঁখারি বলে, শাঁখ আছে তিন টাকারই।",0
দর-কষাকষি নিয়ে অবশেষ পুলিস-থানায় হল সব শেষ।,4
সাসারামে চলে গেল লোক তার খুঁজে যদি পাওয়া যায় মোক্তার।,0
"সাক্ষীর খোঁজে গেল চেউকি, গাঁজাখোর আছে সেথা কেউ কি।",1
সাথে নিয়ে ভুলুদা ও শশিদি অনুকূল চলে গেছে জসিদি।,0
পথে যেতে বহু দুখ ভুগে রে খোঁড়া ঘোড়া বেঁচে এল মুঙেরে।,0
"মা ও দিকে বাতে তার পা খুঁড়ায়, পড়ে আছে সাত দিন বাঁকুড়ায়।",0
ডাক্তার তিনকড়ি সাণ্ডেল বদলি করেছে বাসা বাণ্ডেল।,0
তাই লোক পাঠায় কোদার্‌মায় চিঠি লিখে দিল সে ভোঁদার মায়।,0
"সাতক্ষীরা এল চুপিচুপি সে, তার পরে গেল পাঁচথুপি সে।",4
"সেখানেতে মাছি প”ল ভাতে তার, ঝগড়া হোটেলবাবু সাথে তার।",0
"অতুল গিয়েছে কবে নাসিকে, সঙ্গে নিয়েছে তার মাসিকে।",0
রাঁধবার লোক আছে মাদ্রাজি সাতটাকা মাইনেয় আধ-রাজি।,0
লালচাঁদ যেতে যেতে পাঁকুড়ে খিদেটা মেটায় শসা কাঁকুড়ে।,0
পৌঁছিয়ে বাহাদুরগঞ্জে হাঁসফাঁস করে তার মন-যে।,"3, 4, 5"
বাসা খুঁজে সাথি তার কাঙলা খুলনায় পেল এক বাঙলা।,1
"শুধু একখানা ভাঙা চৌকি, এখানেই থাকে মেজো বউ কি।",5
"নেমে গেল যেথা কানু জংশন, ভিমরুলে করে দিল দংশন।",5
ডাক্তারে বলে চুন লাগাতে জ্বালাটাকে চায় যদি ভাগাতে।,3
"চুন কিনতে সে গেল কাটনি, কিনে এল আমড়ার চাটনি।",0
"বিকানিরে পড়ল সে নাকালে, উটে তাকে কী বিষম ঝাঁকালে।",5
"বাড়িভাড়া করেছিল শ্বশুরই, তাই খুশি মনে গেল মশুরি।",0
"শ্বশুর উধাও হল না ব’লে, জামাই কি ছাড়া পাবে তা ব’লে।",1
"জায়গা পেয়েছে মালগাড়িতে, হাত সে বুলাতেছিল দাড়িতে, ঝাঁকা থেকে মুর্গিটা নাকে তার ঠোকর মেরেছে কোন্‌ ফাঁকে তার।",0
"নাকের গিয়েছে জাত রটে যায়, গাঁয়ের মোড়ল সব চটে যায়।",0
"কানপুর হতে এল পণ্ডিত, বলে এরে করা চাই দণ্ডিত।",0
লাশা হতে শ্বেত কাক খুঁজিয়া নাসাপথে পাখা দাও গুঁজিয়া।,0
"হাঁচি তবে হবে শতশতবার, নাক তার শুচি হবে ততবার।",1
তার পরে হল মজা ভরপুর যখন সে গেল মজাফরপুর।,0
"শালা ছিল জমাদার থানাতে, ভোজ ছিল মোগলাই খানাতে।",0
জৌনপুরি কাবাবের গন্ধে ভুরভুর করে সারা সন্ধে।,4
দেহটা এমনি তার তাতালে যেতে হল মেয়ো-হাঁসপাতালে।,0
তার পরে কী যে হল শেষটা খবর না পাই করে চেষ্টা।,0
"মাঝরাতে ঘুম এল, লাউ কেটে দিতে ছিঁড়ে গেল ভুলুয়ার ফতুরায় ফিতে।",0
"খুদু বলে, মামা আসে, এই বেলা লুকো।",0
"কানাই কাঁদিয়া বলে, কোথা গেল হুঁকো।",0
"নাতি আসে হাতি চড়ে, খুড়ো বলে, আহা, মারা বুঝি গেল আজ সনাতন সাহা।",0
"তাঁতিনীর নাতিনীর সাথিনী সে হাসে; বলে, আজ ইংরেজি মাসের আঠাশে।",0
"তাড়া খেয়ে ন্যাড়া বলে, চলে যাব রাঁচি।",0
ঠাণ্ডায় বেড়ে গেল বাঁদরের হাঁচি।,5
"কুকুরের লেজে দেয় ইন‍্‌জেক্‌শ্যান, মান্থ‍্‌লি টিকিট কেনে জলধর সেন।",0
"পাঁজি লেখে, এ বছরে বাঁকা এ কালটা, ত্যাড়াবাঁকা বুলি তার উলটা-পালটা— ঘুলিয়ে গিয়েছে তার বেবাক খবর— জানি নে তো কে যে কারে দিচ্ছে কবর।",2
         তিনটে কাঁচা আম পড়ে ছিল গাছতলায়                         চৈত্রমাসের সকালে মৃদু রোদ্‌দুরে।,0
               যখন-দেখলুম অস্থির ব্যগ্রতায়                             হাত গেল না কুড়িয়ে নিতে।,0
"                   তখন চা খেতে খেতে মনে ভাবলুম,                            বদল হয়েছে পালের হাওয়া                     পুব দিকের খেয়ার ঘাট ঝাপসা হয়ে এলে।",0
"           সেদিন গেছে যেদিন দৈবে-পাওয়া দুটি-একটি কাঁচা আম                             ছিল আমার সোনার চাবি,                         খুলে দিত সমস্ত দিনের খুশির গোপন কুঠুরি ;                            আজ সে তালা নেই, চাবিও লাগে না।","1, 2, 3"
                      গোড়াকার কথাটা বলি।,0
"           আমার বয়সে এ বাড়িতে যেদিন প্রথম আসছে বউ                          পরের ঘর থেকে,             সেদিন যে-মনটা ছিল নোঙর-ফেলা নৌকো                 বান ডেকে তাকে দিলে তোলপাড় করে।",1
                   জীবনের বাঁধা বরাদ্দ ছাপিয়ে দিয়ে                         এল অদৃষ্টের বদান্যতা।,"2, 3"
               পুরোনো ছেঁড়া আটপৌরে দিনরাত্রিগুলো                          খসে পড়ল সমস্ত বাড়িটা থেকে।,"2, 3"
               কদিন তিনবেলা রোশনচৌকিতে                         চার দিকের প্রাত্যহিক ভাষা দিল বদলিয়ে ;                                  ঘরে ঘরে চলল আলোর গোলমাল                                          ঝাড়ে লণ্ঠনে।,0
                       অত্যন্ত পরিচিতের মাঝখানে                                  ফুটে উঠল অত্যন্ত আশ্চর্য।,0
"                       কে এল রঙিন সাজে সজ্জায়,                                  আলতা-পরা পায়ে পায়ে —             ইঙ্গিত করল যে, সে এই সংসারের পরিমিত দামের মানুষ নয় —                      সেদিন সে ছিল একলা অতুলনীয়।",0
                           বালকের দৃষ্টিতে এই প্রথম প্রকাশ পেল —             জগতে এমন কিছু যাকে দেখা যায় কিন্তু জানা যায় না।,0
"                          বাঁশি থামল, বাণী থামল না —                                   আমাদের বধূ রইল                            বিস্ময়ের অদৃশ্য রশ্মি দিয়ে ঘেরা।",2
"              তার ভাব, তার আড়ি, তার খেলাধুলো ননদের সঙ্গে।",0
"               অনেক সংকোচে অল্প একটু কাছে যেতে চাই,                         তার ডুরে শাড়িটি মনে ঘুরিয়ে দেয় আবর্ত ;                  কিন্তু, ভ্রূকুটিতে বুঝতে দেরি হয় না, আমি ছেলেমানুষ,                     আমি মেয়ে নই, আমি অন্য জাতের।",3
               তার বয়স আমার চেয়ে দুই-এক মাসের                         বড়োই হবে বা ছোটোই হবে।,0
"                   তা হোক, কিন্তু এ কথা মানি,                             আমরা ভিন্ন মসলায় তৈরি।",1
"               মন একান্তই চাইত, ওকে কিছু একটা দিয়ে                            সাঁকো বানিয়ে নিতে।",0
"বিরামের গান গেয়ে সায়াহ্নের বায়         কোথা বহে যায়-- তারি সাথে কেন মোর প্রাণ হু হু করে,         সে কি তোরি তরে?",10
"       না জানি কী গুহার মাঝারে        অস্ফুট মেঘের উপবনে,        স্মৃতি ও আশায় বিজড়িত        আলোক-ছায়ার সিংহাসনে, ছায়াময়ী মূর্তিখানি     আপনে আপনি মিশি        আপনি বিস্মিত আপনায়,        কার পানে শূন্যপানে চায়!","3, 7"
          বিচিত্র সৌন্দর্য জগতের           হেথা আসি হইতেছে লয়।,0
"সংগীত, সৌরভ, শোভা      জগতে যা-কিছু আছে           সবি হেথা প্রতিধ্বনিময়।",0
আমরণ চিরদিন     কেবলি খুঁজিব তোরে           কখনো কি পাব না সন্ধান?,10
"তপনেরে ঘিরি ঘিরি         যেমন ঘুরিছে ধরা,           ঘুরিব কি তোর চারি দিকে?",10
"তোরি মোহময় গান          শুনিতেছি অবিরত,           তোরি রূপ কল্পনায় লিখা-- করিস নে প্রবঞ্চনা           সত্য করে বল্‌ দেখি           তুই তো নহিস মরীচিকা?",10
"আশাময়ী, ও কী কথা       তুমি কি আপনহারা--           আপনি জান না আপনায়?",10
"        হঠাৎ উঠেছে এক-একটা যূথভ্রষ্ট তালগাছ,   দিশাহারা অনির্দিষ্টকে যেন দিক দেখাবার ব্যাকুলতা।",0
"      শরৎকালে পশ্চিম-আকাশে        সূর্যাস্তের ক্ষণিক সমারোহে           রঙের সঙ্গে রঙের ঠেলাঠেলি —      তখন পৃথিবীর এই ধূসর ছেলেমানুষির উপরে                          দেখেছি সেই মহিমা             যা একদিন পড়েছে আমার চোখে                     দুর্লভ দিনাবসানে                 রোহিত সমুদ্রের তীরে তীরে      জনশূন্য তরুহীন পর্বতের রক্তবর্ণ শিখরশ্রেণীতে,                 রুষ্টরুদ্রের প্রলয়ভ্রূকুঞ্চনের মতো।",1
"        এই পথে ধেয়ে এসেছে কালবৈশাখীর ঝড়                 গেরুয়া পতাকা উড়িয়ে             ঘোড়সওয়ার বর্গি  সৈন্যের মতো —             কাঁপিয়ে দিয়েছে শাল-সেগুনকে,                     নুইয়ে দিয়েছে ঝাউয়ের মাথা,                 হায়-হায় রব তুলেছে বাঁশের বনে,             কলাবাগানে করেছে দুঃশাসনের দৌরাত্ম্য।",1
      এসেছিলেম বালককালে।,0
"        ওখানে গুহাগহ্বরে             ঝির্‌ ঝির্‌ ঝর্নার ধারায়          রচনা করেছি মন-গড়া রহস্যকথা,             খেলেছি নুড়ি সাজিয়ে                 নির্জন দুপুর বেলায় আপন-মনে একলা।",0
               রাঙামাটির রাস্তা বেয়ে                         গ্রামের লোক যাবে হাট করতে।,0
               পশ্চিমের আকাশপ্রান্তে                          আঁকা থাকবে একটি নীলাঞ্জনরেখা।,0
"বুঝিয়ে বলি কাকে বলে অবিবেচনা —      মাখন লক্ষ্মীছাড়াটা সংস্কৃতর ক্লাসে             চৌকিতে লাগিয়ে রেখেছিল ভুসো;  ছাপ লেগেছিল পণ্ডিতমশায়ের জামার পিঠে;             সে হেসেছিল, সবাই হেসেছিল                 পণ্ডিতমশায় ছাড়া।",0
"হেডমাস্টার দিলেন ছেলেটাকে একেবারে তাড়িয়ে;             তিনি অত্যন্ত গম্ভীর, তিনি অত্যন্ত বিবেচক।",0
                   তাঁর ভাব-গতিক দেখে হাসি বন্ধ হয়ে যায়।,0
"        তিনু অপকার করে কিছু না ভেবে,               উপকার করে অনায়াসে,                         কোনোটাই মনে রাখে না।",0
"ও ধার নেয়, খেয়াল নেই শোধ করবার;                       যারা ধার নেয় ওর কাছে                পাওনার তলব নেই তাদের দরজায়।",0
       মোটের উপর ওরই লোকসান হয় বেশি।,0
"      আমি ওকে দেখি কাছের থেকে, মানুষ ব”লে,                   ভালো মন্দ পেরিয়ে।",0
"                         সাজা দিই, নির্বাসন দিই নে।",0
"         ও আমার কাছেই রয়ে গেল,                           রাগ কোরো না তাই নিয়ে।",0
               বেলা গেল অকাজে।,0
এক মুহূর্তে মেঘের দল      বুক ফুলিয়ে হু হু করে ছুটে আসে             তাদের কোণ ছেড়ে।,3
"বাঁধের জল হয়ে গেল কালো,          বটের তলায় নামল থম্‌থমে অন্ধকার।",0
"দেখতে দেখতে ঘনবৃষ্টিতে পাণ্ডুর হয়ে আসে             সমস্ত আকাশ,                 মাঠ ভেসে যায় জলে।",0
"বুড়ো বুড়ো গাছগুলো আলুথালু মাতামাতি করে              ছেলেমানুষের মতো;  ধৈর্য থাকে না তালের পাতায়, বাঁশের ডালে।",3
        একটু পরেই পালা হল শেষ —             আকাশ নিকিয়ে গেল কে।,0
কৃষ্ণপক্ষের কৃশ চাঁদ যেন রোগশয্যা ছেড়ে             ক্লান্ত হাসি নিয়ে অঙ্গনে বাহির হয়ে এল।,3
"তার মধ্যে দুটি-একটি কুঁড়েমির দিনকে             পিছনে রেখে যাব          ছন্দে-গাঁথা কুঁড়েমির কারুকাজে,       তারা জানিয়ে দেবে আশ্চর্য কথাটি—          একদিন আমি দেখেছিলেম এই সব-কিছু।",3
"        নাম রেখেছি কোমল গান্ধার,                                  মনে মনে।",0
"      যদি তার কানে যেত অবাক হয়ে থাকত বসে,                           বলত হেসে “মানে কী”।",0
মানে কিছুই যায় না বোঝা সেই মানেটাই খাঁটি।,0
"             কাজ আছে কর্ম আছে সংসারে,                   ভালো মন্দ অনেক রকম আছে —           তাই নিয়ে তার মোটামুটি সবার সঙ্গে চেনাশোনা।",0
পাশের থেকে আমি দেখি বসে বসে           কেমন একটি সুর দিয়েছে চার দিকে।,0
             আপনাকে ও আপনি জানে না।,0
         গলার সুরে কী করুণা লাগে ঝাপসা হয়ে।,0
"ওর জীবনের তানপুরা যে ওই সুরেতেই বাঁধা,                       সেই কথাটি ও জানে না।",2
ছেলেটার বয়স হবে বছর দশেক —                   পরের ঘরে মানুষ।,0
"         ছেলেটা কুল পাড়তে গিয়ে গাছের থেকে পড়ে,                    হাড় ভাঙে,           বুনো বিষফল খেয়ে ওর ভির্মি লাগে,  রথ দেখতে গিয়ে কোথায় যেতে কোথায় যায়,                   কিছুতেই কিছু হয় না —        আধমরা হয়েও বেঁচে ওঠে,               হারিয়ে গিয়ে ফিরে আসে                       কাদা মেখে কাপড় ছিঁড়ে —           মার খায় দমাদম,                   গাল খায় অজস্র —               ছাড়া পেলেই আবার দেয় দৌড়।",0
"   মরা নদীর বাঁকে দাম জমেছে বিস্তর,                   বক দাঁড়িয়ে থাকে ধারে,           দাঁড়কাক বসেছে বৈঁচিগাছের ডালে,                   আকাশে উড়ে বেড়ায় শঙ্খচিল,        বড়ো বড়ো বাঁশ পুঁতে জাল পেতেছে জেলে,               বাঁশের ডগায় বসে আছে মাছরাঙা,        পাতিহাঁস ডুবে ডুবে গুগলি তোলে।",0
                    বেলা দুপুর।,0
"লোভ হয় জলের ঝিলিমিলি দেখে —           তলায় পাতা ছড়িয়ে শেওলাগুলো দুলতে থাকে,                       মাছগুলো খেলা করে।",0
          “কী আছে দেখিই-না” সব তাতে এই তার লোভ।,0
"                 দিল ডুব, দামে গেল জড়িয়ে —           চেঁচিয়ে উঠে, খাবি খেয়ে, তলিয়ে গেল কোথায়।",0
"                 ডাঙায় রাখাল চরাচ্ছিল গোরু,        জেলেদের ডিঙি নিয়ে টানাটানি করে তুললে তাকে —                   তখন সে নিঃসাড়।",0
"         তার পরে অনেক দিন ধরে মনে পড়েছে                   চোখে কী করে সর্ষেফুল দেখে,                           আঁধার হয়ে আসে,           যে মাকে কচি বেলায় হারিয়েছে                   তার ছবি জাগে মনে,               জ্ঞান যায় মিলিয়ে।",0
"                 ভারি মজা,               কী করে মরে সেই মস্ত কথাটা।",0
         ভারি ইচ্ছা করে জানতে ওর কেমন লাগে।,0
"             সাথি রাজি হয় না;        ও রেগে বলে, “ভীতু, ভীতু, ভীতু কোথাকার। ”",10
"          বক্সিদের ফলের বাগান, সেখানে লুকিয়ে যায় জন্তুর মতো।",1
"মার খেয়েছে বিস্তর, জাম খেয়েছে আরো অনেক বেশি।",1
"               বাড়ির লোকে বলে, “লজ্জা করে না বাঁদর?”",9
                     কেন লজ্জা।,0
