ID,SENTENCE,FOS CODE,SL. No. Figure of Speech Class Label
MMD873,"দেব-দৈত্য-নর-ত্রাস তোমরা সমরে, বিশ্বজয়ী; স্মরি তারে, চল রণস্থলে;— মেঘনাদ হত রণে, এ বারতা শুনি, কে চাহে বাঁচিতে আজি এ কর্ব্বুরকুলে, কর্ব্বুরকুলের গর্ব্ব মেঘনাদ বলী।”",,
MMD874,নীরবিলা সহেষ্বাস নিশ্বাসি বিষাদে।,,
MMD875,"ক্ষোভে রোষে রক্ষঃসৈন্য নাদিলা নির্ঘোষে, তিতিয়া মহীরে, মরি, নয়ন আসারে।",,
MMD876,শুনি সে ভীষণ স্বন নাদিলা গম্ভীরে রঘুসৈন্য।,,
MMD877,ত্রিদিবেন্দ্র নাদিলা ত্রিদিবে।,,
MMD878,"রুষিলা বৈদেহীনাথ, সৌমিত্রি-কেশরী, সুগ্রীব, অঙ্গদ, হনু, নেতৃনিধি যত রক্ষোযম; নল, নীল, শরভ সুমতি,— গর্জ্জিল বিকট ঠাট জয়রাম নাদে।",,
MMD879,"মন্দ্রিলা জীমূতবৃন্দ আবরি অম্বরে; ইরম্মদে ধাঁধি বিশ্ব, গর্জ্জিল অশনি; চামুণ্ডার হাসিরাশি-সদৃশ হাসিল সৌদামিনী, যবে দেবী হাসি বিনাশিলা দুর্ম্মদ দানবদলে, মত্ত রণমদে।",,
MMD880,"ডুবিলা তিমিরপুঞ্জে তিমির-বিনাশী দিনমণি; বায়ুদল বহিলা চৌদিকে বৈশ্বানর-শ্বাসরূপে; জ্বলিল কাননে দাবাগ্নি; প্লাবন নাদি গ্রাসিল সহসা পুরি পল্লী; ভূকম্পনে পড়িল ভূতলে অট্টালিকা, তরুরাজী; জীবন ত্যজিল উচ্চ কাঁদি জীবকুল, প্রলয়ে যেমতি!",,
MMD881,মহাভয়ে ভীত মহী কাঁদিয়া চলিলা বৈকুণ্ঠে।,,
MMD882,"কনকাসনে বিরাজেন যথা মাধব, প্রণমি সাধ্বী আরাধিলা দেবে;— “বারে বারে অধিনীরে, দয়াসিন্ধু তুমি, হে রমেশ!",,
MMD883,"তরাইলা বহু মূর্ত্তি ধরি;— কুর্ম্মপৃষ্ঠে তিষ্ঠাইলা দাসীরে প্রলয়ে কূর্ম্মরূপে; বিরাজিনু দশনশিখরে আমি, (শশাঙ্কের দেহ কলঙ্কের রেখা সদৃশী) বরাহমূর্ত্তি ধরিলা যে কালে, দীনবন্ধু!",,
MMD884,"নরসিংহবেশে বিনাশিয়া হিরণ্যকশিপু দৈত্য, জুড়ালে দাসীরে খর্ব্বিলা বলির গর্ব্ব খর্ব্বাকারছলে, বামন!",,
MMD885,"বাঁচিনু, প্রভু, তোমার প্রসাদে।",,
MMD886,আর কি কহিব নাথ?,,
MMD887,"পদাশ্রিতা দাসী, তেঁই পাদপদ্মতলে এ বিপত্তিকালে।”",,
MMD888,"হাসি সুমধুর স্বরে সুধিলা মুরারি;— “কি হেতু কাতরা আজি, কহ জগন্মাতঃ বসুধে?",,
MMD889,"আয়াসে আজি কে, বৎসে, তোমারে?",,
MMD890,"উত্তরিলা কাঁদি মহী;—“কি না তুমি জান, সর্ব্বজ্ঞ।",,
MMD891,লঙ্কার পানে দেখ প্রভু চাহি।,,
MMD892,রণে মত্ত রক্ষোরাজ; রণে মত্ত বলী রাঘবেন্দ্র; রণে মত্ত ত্রিদিবেন্দ্র রথী!,,
MMD893,মদকল-করীত্রয় আয়াসে দাসীরে।,,
MMD894,"দেবাকৃতি রথিপতি সৌমিত্রি-কেশরী বধিলা সংগ্রামে আজি ভীম মেঘনাদে; আকুল বিষম-শোকে রক্ষঃকুলনিধি করিল প্রতিজ্ঞা, রণে মারিবে লক্ষ্মণে; করিলা প্রতিজ্ঞা ইন্দ্র রক্ষিতে তাহারে বীরদর্পে;—অবিলম্বে, হায়, আরম্ভিবে কাল-রণ, পীতাম্বর!",,
MMD895,"স্বর্ণ-লঙ্কাপুরে, দেব-রক্ষঃ-নর রোষে।",,
MMD896,"কেমনে সহিব এ ঘোর-যাতনা, নাথ, কহ ত আমারে?”",,
MMD897,চাহিলা রমেশ হাসি স্বর্ণলঙ্কা-পানে।,,
MMD898,"দেখিলা রাক্ষসবল বাহিরিছে দলে অসংখ্য, প্রতিঘ-অন্ধ, চতুঙ্কন্ধরূপী।",,
MMD899,চলিছে প্রতাপ আগে জগত কাঁপায়ে; পশ্চাতে শবদ চলে শ্রবণ বধিরি; চলিছে পরাগ পরে দৃষ্টিপথ রোধি ঘন-ঘনাকাররূপে।,,
MMD900,টলিছে সঘনে স্বর্ণলঙ্কা।,,
MMD901,বহির্ভাগে দেখিলা শ্রীপতি রঘুসৈন্য; ঊর্ম্মিকুল সিন্ধুমুখে যথা চির-অরি প্রভঞ্জন দেখা দিলে দূরে।,,
MMD902,"দেখিলা পুণ্ডরীকাক্ষ, দেবদল বেগে ধাইছে লঙ্কার পানে, পক্ষিরাজ যথা গরুড়, হেরিয়া দূরে সদা-ভক্ষ্য ফণী, হুঙ্কারে!",,
MMD903,পূরিছে বিশ্ব গম্ভীর নির্ঘোষে!,,
MMD904,"পলাইছে যোগিকুল যোগ-যাগ ছাড়ি; কোলে করি শিশুকুলে কাঁদিছে জননী, ভয়াকুলা; জীবব্রজ ধাইছে চৌদিকে ছন্নমতি।",,
MMD905,"ক্ষণকাল চিন্তি চিন্তামণি (যোগীন্দ্র-মানস-হংস) কহিলা মহীরে;— “বিষম বিপদ, সতি!",,
MMD906,উপস্থিত দেখি তব পক্ষে!,,
MMD907,"বিরূপাক্ষ, রুদ্রতেজোদানে, তেজস্বী করিলা আজি রক্ষঃকুলরাজে।",,
MMD908,"না হেরি উপায় কিছু; যাহ তাঁর কাছে, মেদিনি!”",,
MMD909,পদারবিন্দে কাঁদি উত্তরিলা বসুন্ধরা;—“হায় প্রভু!,,
MMD910,দুরন্ত সংহারী ত্রিশূলী; সতত রত নিধনসাধনে।,,
MMD911,নিরন্তর তমোগুণে পূর্ণ ত্রিপুরারি।,,
MMD912,"কাল-সর্প-সাধ, শৌরি!",,
MMD913,"সদা দগ্ধাইতে, উগরি বিষাগ্নি, জীবে।",,
MMD914,"দয়াসিন্ধু তুমি, বিশ্বম্ভর; বিশ্বভার তুমি না বহিলে, কে আর বহিবে, কহ?",,
MMD915,"বাঁচাও দাসীরে, হে শ্রীপতি!",,
MMD916,এ মিনতি ও রাঙ্গা-চরণে!”,,
MMD917,"উত্তরিলা হাসি বিভু;—“যাও নিজ স্থলে, বসুধে!",,
MMD918,"সাধিব কার্য্য তোমার, সম্বরি দেববীর্য্য।",,
MMD919,"না পারিবে রক্ষিতে লক্ষ্মণে দেবেন্দ্র, রাক্ষস-দুঃখে দুঃখী উমাপতি।”",,
MMD920,মহানন্দে বসুন্ধরা গেলা নিজস্থলে।,,
MMD921,"কহিলা গরুড়ে প্রভু;—“উড়ি নভোদেশে, গরুত্মান্!",,
MMD922,"দেবতেজঃ হর আজি রণে, হরে অম্বুরাশি যথা তিমিরারি রবি; কিম্বা তুমি, বৈনতেয়!",,
MMD923,হরিলা যেমতি অমৃত।,,
MMD924,নিস্তেজ দেবে আমার আদেশে।”,,
MMD925,"বিস্তারি বিশাল পক্ষ, উড়িলা আকাশে পক্ষিরাজ; মহাছায়া পড়িল ভূতলে, আঁধারি অযুত বন, গিরি, নদ, নদী।",,
MMD926,"যথা গৃহমাঝে বহ্নি জ্বলিলে উত্তেজে, গবাক্ষ-দুয়ার পথে বাহিরায় বেগে শিখাপুঞ্জ, বাহিরিল চারিদ্বার দিয়া রাক্ষস, নিনাদি রোষে; গর্জ্জিল চৌদিকে রঘুসৈন্য; দেববৃন্দ পশিলা সমরে।",,
MMD927,"আইলা মাতঙ্গবর ঐরাবত, মাতি রণরঙ্গে; পৃষ্ঠদেশে দম্ভোলিনিক্ষেপী সহস্রাক্ষ, দীপ্যমান মেরুশৃঙ্গ যথা রবি করে, কিম্বা ভানু মধ্যাহ্নে; আইলা শিখিধ্বজ-রথে রথী স্কন্দ তারকারি সেনানী; বিচিত্র রথে চিত্ররথ রথী; কিন্নর, গন্ধর্ব্ব, যক্ষ, বিবিধ বাহনে।",,
MMD928,আতঙ্কে শুনিলা লঙ্কা স্বর্গীয়-বাজনা; কাঁপিল চমকি দেশ অমর-নিনাদে!,,
MMD929,"সাষ্টাঙ্গে প্রণমি ইন্দ্রে কহিলা নৃমণি; “দেবকুলদাস দাস, দেবকুলপতি!",,
MMD930,"কত যে করিনু পুণ্য পূর্ব্বজন্মে আমি, কি আর কহিব তার?",,
MMD931,"তেঁই সে লভিনু পদাশ্রয় আজি তব এ বিপত্তি কালে, বজ্রপাণি!",,
MMD932,তেঁই আজি চরণ-পরশে পরিত্রিলা ভূমণ্ডল ত্রিদিবনিবাসী।”,,
MMD933,"উত্তরিলা স্বরীশ্বর সম্ভাষি রাঘবে;— “দেবকুলপ্রিয় তুমি, রঘুকুলমণি!",,
MMD934,"উঠি দেবরথে, রথি!",,
MMD935,নাশ বাহুবলে রাক্ষস অধর্ম্মাচারী।,,
MMD936,নিজ-কর্ম্ম-দোষে মজে রক্ষঃকুলনিধি; কে রক্ষিবে তারে?,,
MMD937,"লভিনু অমৃত যথা মথি জলদলে, লণ্ডভণ্ডি লঙ্কা আজি, দণ্ডি নিশাচরে, সাধ্বী মৈথিলীরে, শূর, অর্পিবে তোমারে দেবকুল।",,
MMD938,"কত কাল অতল-সলিলে বসিবেন আর রমা, আঁধারি জগতে?”",,
MMD939,বাজিল তুমুল রণ দেবরক্ষোনরে!,,
MMD940,অম্বুরাশিসম কম্বু ঘোষিল চৌদিকে অযুত; টঙ্কারি ধনুঃ ধনুর্দ্ধর বলী রোধিলা শ্রবণপথ!,,
MMD941,"গগন ছাইয়া উড়িল কলম্বকুল, ইরম্মদতেজে ভেদি, বর্ম্ম, চর্ম্ম, দেহ, বহিল প্লাবনে শোণিত।",,
MMD942,"পড়িল রক্ষোনরকুলরথী; পড়িল কুঞ্জরপুঞ্জ, নিকুঞ্জে যেমতি পত্র প্রভঞ্জনবলে; পড়িল নিনাদি বাজীরাজী; রণভূমি পূরিল ভৈরবে!",,
MMD943,আক্রমিলা সুরবৃন্দে চতুরঙ্গ-বলে চামর—অমরত্রাস।,,
MMD944,"চিত্ররথ রথী সৌরতেজঃ রথে শূর পশিলা সংগ্রামে, বারণারি সিংহ যথা হেরি সে বারণে।",,
MMD945,আহ্বানিল ভীমরবে সুগ্রীবে উদগ্র রথীশ্বর; রথচক্র ঘুরিল ঘর্ঘরে শতজলস্রোতোনাদে।,,
MMD946,"চালাইলা বেগে বাস্কল মাতঙ্গযূথে, যুথনাথ যথা দুর্ব্বার, হেরিয়া দূরে অঙ্গদে; রুষিলা যুবরাজ, রোষে যথা সিংহশিশু হেরি মৃগদলে।",,
MMD947,"অসিলোমা, তীক্ষ্ণ-অসি করে, বাজীরাজী সহ ক্রোধে বেড়িল শরভে বীরর্ষভ।",,
MMD948,বিড়ালাক্ষ (বিরূপাক্ষ যথা সর্ব্বনাশী) হনূ সহ আরম্ভিলা কোপে সংগ্রাম।,,
MMD949,"পশিলা রণে দিব্যরথে রথী রাঘব, দ্বিতীয়, আহা, স্বরীশ্বর যথা বজ্রধর।",,
MMD950,"শিখিধ্বজ স্কন্দ তারকারি, সুন্দর লক্ষ্মণ-শূরে দেখিলা বিস্ময়ে নিজ প্রতিমূর্ত্তিমর্ত্যে।",,
MMD951,উড়িল চৌদিকে ঘনরূপে রেণুরাশি; টলমল টলে টলিলা কনক-লঙ্কা; গর্জ্জিলা জলধি।,,
MMD952,সৃজিলা অপূর্ব্ব-ব্যূহ শচীকান্ত বলী।,,
MMD953,"বাহিরিলা রক্ষোরাজ পুষ্পক-আরোহী ঘর্ঘরিল রথচক্র নির্ঘোষে, উগরি বিস্ফুলিঙ্গ; তুরঙ্গম হ্রেষিল উল্লাসে।",,
MMD954,"রতনসম্ভবা বিভা, নয়ন ধাঁধিয়া, ধায় অগ্রে, ঊষা যথা, একচক্র-রথে উদেন আদিত্য যবে উদয়-অচলে!",,
MMD955,নাদিল গম্ভীরে রক্ষঃ হেরি রক্ষোনাথে।,,
MMD956,"সম্ভাষি সারথিবরে, কহিলা সুরথী;— “নাহি যুঝে নর আজি, হে সূত, একাকী, দেখ চেয়ে।",,
MMD957,"ধূমপুঞ্জে অগ্নিরাশি যথা, শোভে অসুরারিদল রঘুসৈন্য মাঝে।",,
MMD958,আইলা লঙ্কায় ইন্দ্র শুনি হত রণে ইন্দ্রজিৎ।”,,
MMD959,"স্মরি পুত্ত্রে রক্ষঃকুলনিধি, সরোষে গর্জ্জিয়া রাজা কহিলা গভীরে;— “চালাও, হে সূত!",,
MMD960,"রথ, যথা বজ্রপাণি বাসব।”",,
MMD961,চলিল রথ মনোরথগতি।,,
MMD962,"পলাইল রঘুসৈন্য, পলায় যেমনি মদকল-করীরাজে হেরি উর্দ্ধশ্বাসে বনবাসী।",,
MMD963,"কিম্বা যথা ভীমাকৃতি-ঘন, বজ্র-অগ্নিপূর্ণ, যবে উড়ে বায়ুপথে ঘোরনাদে, পশুপক্ষী পলায় চৌদিকে আতঙ্কে!",,
MMD964,"টঙ্কারি ধনুঃ, তীক্ষ্ণতর-শরে মুহূর্ত্তে ভেদিলা ব্যূহ বীরেন্দ্র-কেশরী, সহজে প্লাবন যথা ভাঙে ভীমাঘাতে বালিবন্ধ!",,
MMD965,কিম্বা যথা ব্যাঘ্র নিশাকালে গোষ্ঠবৃতি।,,
MMD966,"অগ্রসরি শিখিধ্বজ-রথে, শিঞ্জিনী আকর্ষি রোষে তারকারি বলী রোধিলা সে রথগতি।",,
MMD967,"কৃতাঞ্জলিপুটে নমি শূরে, লঙ্কেশ্বর কহিলা গম্ভীরে;— “শঙ্করী-শঙ্করে, দেব, পূজে দিবানিশি কিঙ্কর।",,
MMD968,লঙ্কায় তবে বৈরিদল-মাঝে কেন আজি হেরি তোমা?,,
MMD969,"নরাধম রামে হেন আনুকুল্য দান কর কি কারণে, কুমার?",,
MMD970,রথীন্দ্র তুমি; অন্যায়-সমরে মারিল নন্দনে মোর লক্ষ্মণ; মারিব কপটসমরী মূঢ়ে; দেহ পথ ছাড়ি!”,,
MMD971,"কহিলা পার্ব্বতীপুত্ত্র; “রক্ষিব লক্ষ্মণে, রক্ষোরাজ!",,
MMD972,আজি আমি দেবরাজাদেশে।,,
MMD973,"বাহুবলে, বাহুবল, বিমুখ আমারে, নতুবা এ মনোরথ নারিবে পূর্ণিতে!”",,
MMD974,"সরোষে, তেজস্বী আজি মহারুদ্রতেজে, হুঙ্কারি হানিল অস্ত্র রক্ষঃকুলনিধি অগ্নিসম, শরজালে কাতরিয়া রণে শক্তিধরে!",,
MMD975,বিজয়ারে সম্ভাষি অভয়া কহিলা; “দেখ্‌লো সখি!,,
MMD976,"চাহি লঙ্কাপানে, তীক্ষ্ণ-শরে রক্ষেশ্বর বিঁধিছে কুমারে নির্দ্দয়; আকাশে দেখ, পক্ষীন্দ্র হরিছে দেবতেজঃ; যা লো তুই সৌদামিনীগতি, নিবার্ কুমারে, সই।",,
MMD977,"বিদরিছে হিয়া আমার, লো সহচরি।",,
MMD978,হেরি রক্তধারা বাছার কোমল দেহে।,,
MMD979,"ভকত-বৎসল সদানন্দ; পুত্রাধিক স্নেহেন ভকতে; তেঁই সে রাবণ এবে দুর্ব্বার সমরে, স্বজনি!”",,
MMD980,চলিলা আশু সৌরকররূপে নীলাম্বরপথে দূতী।,,
MMD981,"সম্বোধি কুমারে বিধুমুখী, কর্ণমূলে কহিলা;—“সম্বর অস্ত্র তব, শক্তিধর, শক্তির আদেশে।",,
MMD982,মহারুদ্রতেজে আজি পূর্ণ লঙ্কাপতি।”,,
MMD983,ফিরাইলা রথ হাসি স্কন্দ তারকারি মহাসুর।,,
MMD984,"সিংহনাদে কটক কাটিয়া অসংখ্য, রাক্ষসনাথ ধাইলা সত্বরে ঐরাবত-পৃষ্ঠে যথা দেব বজ্রপাণি।",,
MMD985,"বেড়িল গন্ধর্ব্ব-নর শত প্রসরণে রক্ষেন্দ্রে; হুঙ্কারি শূর নিরস্তিলা সবে নিমিষে, কালাগ্নি যথা ভস্মে বনরাজী।",,
MMD986,পলাইলা বীরদল জলাঞ্জলি দিয়া লজ্জায়!,,
MMD987,"আইলা রোষে দৈত্যকুল-অরি, হেরি পার্থে কর্ণ যথা কুরুক্ষেত্র-রণে।",,
MMD988,ভীষণ তোমর রক্ষঃ হানিলা হুঙ্কারি ঐরাবত-শিরঃ লক্ষ্যি।,,
MMD989,অর্দ্ধপথে তাহে শর-বৃষ্টি স্বরীশ্বর কাটিলা সত্বরে।,,
MMD990,"কহিলা কর্ব্বুরপতি গর্ব্বে সুরনাথে;— “যার ভয়ে বৈজয়ন্তে, শচীকান্ত বলি!",,
MMD991,"চির কম্পমান তুমি, হত সে রাবণি, তোমার কৌশলে, আজি কপট-সংগ্রামে।",,
MMD992,"তেঁই বুঝি আসিয়াছ লঙ্কাপুরে তুমি, নির্লজ্জ!",,
MMD993,"অবধ্য তুমি, অমর; নহিলে দমনে শমন যথা, দমিতাম তোমা মুহূর্ত্তে।",,
MMD994,"নারিবে তুমি রক্ষিতে লক্ষ্মণে, এ মম প্রতিজ্ঞা দেব!”",,
MMD995,"ভীম গদা ধরি, লম্ফ দিয়া রথীশ্বর পড়িলা ভূতলে, সঘনে কাঁপিলা মহী পদযুগভরে, ঊরুদেশে কোষে অসি বাজিল ঝন্‌ঝনি।",,
MMD996,হুঙ্কারি কুলিশী রোষে ধরিলা কুলিশে!,,
MMD997,অমনি হরিল তেজঃ গরুড়; নারিলা নাড়িতে দম্ভোলি দেব দম্ভোলি নিক্ষেপী!,,
MMD998,"প্রহারিলা ভীম গদা গজরাজশিরে রক্ষোরাজ, প্রভঞ্জন যেমতি, উপাড়ি অভ্রভেদী মহীরুহ, হানে গিরিশিরে ঝড়ে।",,
MMD999,"ভীমাঘাতে হস্তী নিরস্ত, পড়িলা হাঁটু গাড়ি।",,
MMD1000,হাসি রক্ষঃ উঠিলা স্বরথে।,,
MMD1001,যোগাইলা মুহূর্ত্তেকে মাতলি সারথি সুরথ; ছাড়িলা পথ দিতিসুতরিপু অভিমানে।,,
MMD1002,"হাতে ধনুঃ, ঘোর-সিংহনাদে দিব্য রথে দাশরথি পশিলা সংগ্রামে।",,
MMD1003,কহিলা রাক্ষসপতি; “না চাহি তোমারে আজি হে বৈদেহীনাথ!,,
MMD1004,এ ভবমণ্ডলে আর এক দিন তুমি জীব নিরাপদে।,,
MMD1005,কোথা সে অনুজ তব কপট-সমরী পামর?,,
MMD1006,"মারিব তারে; যাও ফিরি তুমি শিবিরে, রাঘবশ্রেষ্ঠ!”",,
MMD1007,"নাদিলা ভৈরবে মহেষ্বাস, দূরে শূর হেরি রামানুজে।",,
MMD1008,"বৃষপালে সিংহ যথা, নাশিছে রাক্ষসে শূরেন্দ্র; কভু বা রথে, কভু বা ভূতলে।",,
MMD1009,চলিল পুষ্পক বেগে ঘর্ঘরি নির্ঘোষে অগ্নিচক্রসম চক্র বর্ষিল চৌদিকে অগ্নিরাশি; ধূমকেতু-সদৃশ শোভিল রথচূড়ে রাজকেতু।,,
MMD1010,"যথা হেরি দূরে কপোত, বিস্তারি পাখা, ধায় বাজপতি অম্বরে; চলিলা রক্ষঃ, হেরি রণভূমে পুত্ত্রহা সৌমিত্রি-শূরে; ধাইলা চৌদিকে হুহুঙ্কারে দেব-নর রক্ষিতে শূরেশে।",,
MMD1011,ধাইলা রাক্ষসবৃন্দ হেরি রক্ষোনাথে।,,
MMD1012,"বিড়ালাক্ষ রক্ষঃশূরে বিমুখি সংগ্রামে, আইলা অঞ্জনাপুত্ত্র,—প্রভঞ্জনসম ভীমপরাক্রম হনূ, গর্জ্জি ভীম-নাদে।",,
MMD1013,যথা প্রভঞ্জনবলে উড়ে তুলারাশি চৌদিকে; রাক্ষসবৃন্দ পলাইলা রড়ে হেরি যমাকৃতি বীরে।,,
MMD1014,"রুষি লঙ্কাপতি চোক্‌ চোক্ শরে শূর অস্থিরিলা শূরে অধীর হইলা হনূ, ভূধর যেমতি ভূকম্পনে।",,
MMD1015,"পিতৃপদ স্মরিলা বিপদে বীরেন্দ্র, আনন্দে বায়ু নিজ বল দিলা নন্দনে, মিহির যথা নিজ করদানে ভূষেণ কুমুদবাঞ্ছা সুধাংশুনিধিরে।",,
MMD1016,"কিন্তু মহারুদ্রতেজে তেজস্বী সুরথী নৈকষেয়, নিবারিলা পবনতনয়ে,— ভঙ্গ দিয়া রণরঙ্গে পলাইলা হনূ।",,
MMD1017,"আইলা কিষ্কিন্ধ্যাপতি, বিনাশি সংগ্রামে উদগ্রে বিগ্রহপ্রিয়।",,
MMD1018,"হাসিয়া কহিলা লঙ্কানাথ;—“রাজ্যভোগ ত্যজি কি কুক্ষণে, বর্ব্বর!",,
MMD1019,আইলি তুই এ কনকপুরে!,,
MMD1020,"ভ্রাতৃবধূ তারা তোর তারাকারা রূপে তারে ছাড়ি কেন হেথা রথিকুল-মাঝে তুই, রে কিষ্কিন্ধ্যানাথ?",,
MMD1021,"ছাড়িনু, যা চলি স্বদেশে।",,
MMD1022,"বিধবাদশা কেন ঘটাইবি আবার তাহার, মূঢ়?",,
MMD1023,দেবর কে আছে আর তার?”,,
MMD1024,"ভীমরবে উত্তরিলা বলী সুগ্রীব;—“অধর্ম্মাচারী কে আছে জগতে তোর্ সম, রক্ষোরাজ?",,
MMD1025,"পরদারা লোভে সবংশে মজিলি, দুষ্ট!",,
MMD1026,"রক্ষঃকুলকালি তুই, রক্ষঃ!",,
MMD1027,মৃত্যু তোর্ আজি মোর হাতে।,,
MMD1028,উদ্ধারিব মিত্রবধূ বধি আজি তোরে।”,,
MMD1029,এতেক কহিয়া বলী গর্জ্জি নিক্ষেপিলা গিরিশৃঙ্গ।,,
MMD1030,"অনম্বর আঁধারি ধাইল শিখর; সুতীক্ষ্ণ শরে কাটিলা সুরথী রক্ষোরাজ, খান খান করি সে শিখরে।",,
MMD1031,টঙ্কারি কোদণ্ড পুনঃ রক্ষঃ-চূড়ামণি তীক্ষ্ণতম শরে শূর বিঁধিলা সুগ্রীবে হুঙ্কারে।,,
MMD1032,"বিষমাঘাতে ব্যথিত সুমতি, পলাইলা; পলাইলা সত্রাসে চৌদিকে রঘুসৈন্য, (জল যথা জাঙাল ভাঙিলে কোলাহলে); দেবদল, তেজোহীন এবে, পলাইলা নরসহ ধুমসহ যথা যায় উড়ি অগ্নিকণা বহিলে প্রবলে পবন সম্মুখে রক্ষঃ হেরিলা লক্ষ্মণে দেবাকৃতি।",,
MMD1033,"বীরমদে দুর্ম্মদ সমরে রাবণ, নাদিলা বলী হুহুঙ্কার রবে;— নাদিলা সৌমিত্রি-শূর নির্ভয়-হৃদয়ে, নাদে যথা মত্তকরী মত্তকরিনাদে!",,
MMD1034,দেবদত্ত ধনুঃ ধন্বী টঙ্কারিলা রোষে।,,
MMD1035,"“এতক্ষণে, রে লক্ষ্মণ,”—কহিলা সরোষে রাবণ, “এ রণক্ষেত্রে পাইনু কি তোরে, নরাধম?",,
MMD1036,কোথা এবে দেব বজ্রপাণি?,,
MMD1037,শিখিধ্বজ শক্তিধর?,,
MMD1038,"রঘুকুলপতি, ভ্রাতা তোর?",,
MMD1039,কোথা রাজা সুগ্রীব?,,
MMD1040,"কে তোরে রক্ষিবে পামর, আজি?",,
MMD1041,"এ আসন্ন-কালে সুমিত্রা-জননী তোর, কলত্র ঊর্ম্মিলা, ভাব দোঁহে।",,
MMD1042,মাংস তোর মাংসাহারী জীবে দিব এবে; রক্তস্রোত শুষিবে ধরণী!,,
MMD1043,"কু-ক্ষণে সাগর পার হইলি, দুর্ম্মতি!",,
MMD1044,"পশিলি রাক্ষসালয়ে চোরবেশ ধরি, হরিলি রাক্ষস-রত্ন—অমূল্য জগতে।”",,
MMD1045,"গর্জ্জিলা ভৈরবে রাজা বসাইয়া চাপে অগ্নিশিখাসম শর; ভীম সিংহনাদে উত্তরিলা ভীমনাদী সৌমিত্রি-কেশরী;— “ক্ষত্ত্রকুলে জন্ম মম, রক্ষঃকুলপতি!",,
MMD1046,নাহি ডরি যমে আমি; কেন ডরাইব তোমায়?,,
MMD1047,"আকুল তুমি পুত্ত্রশোকে আজি, যথাসাধ্য কর, রথি!",,
MMD1048,"আশু নিবারিব শোক তব, প্রেরি তোমা পুত্ত্রবর যথা।”",,
MMD1049,"বাজিল তুমুল রণ; চাহিলা বিস্ময়ে দেব নর দোঁহা-পানে, কাটিলা সৌমিত্রি শরজাল মুহুর্মুহুঃ হুহুঙ্কার-রবে!",,
MMD1050,"সবিস্ময়ে রক্ষোরাজ কহিলা;—“বাখানি বীরপণা তোর আমি, সৌমিত্রি-কেশরী!",,
MMD1051,শক্তিধরাধিক শক্তি ধরিস্ সুরথি!,,
MMD1052,তুই; কিন্তু নাহি রক্ষা আজি মোর হাতে।”,,
MMD1053,"স্মরি পুত্ত্রবরে শূর, হানিলা সরোষে মহাশক্তি।",,
MMD1054,"বজ্রনাদে উঠিলা গর্জ্জিয়া, উজলি অম্বরদেশ সৌদামিনীরূপে ভীষণরিপুনাশিনী!",,
MMD1055,"কাঁপিলা সভয়ে দেব, নর।",,
MMD1056,"ভীমাঘাতে পড়িল ভূতলে লক্ষ্মণ, নক্ষত্র যথা; বাজিল ঝন্‌ঝনি দেব-অস্ত্র; রক্তস্রোতে আভাহীন এবে।",,
MMD1057,সপন্নগ গিরিসম গড়িলা সুমতি।,,
MMD1058,"গহন কাননে যথা বিঁধি মৃগবরে কিরাত অব্যর্থ শরে, ধায় দ্রুতগতি তার পানে; রথ ত্যজি রক্ষোরাজ বলী ধাইলা ধরিতে শবে!",,
MMD1059,উঠিল চৌদিকে আর্ত্তনাদ!,,
MMD1060,হাহাকারে দেবনররথী বেড়িলা সৌমিত্রি-শূরে।,,
MMD1061,"কৈলাসসদনে শঙ্করের পদতলে কহিলা শঙ্করী;— “মারিল লক্ষ্মণে, প্রভু!",,
MMD1062,রক্ষঃকুলপতি সংগ্রামে।,,
MMD1063,ধূলায় পড়ি যায় গড়াগড়ি সুমিত্রানন্দন এবে!,,
MMD1064,"তুষিলা রাক্ষসে, ভকত-বৎসল তুমি; লাঘবিলা রণে বাসবের বীর-গর্ব্ব; কিন্তু ভিক্ষা করি, বিরূপাক্ষ!",,
MMD1065,"রক্ষ, নাথ!",,
MMD1066,লক্ষ্মণের দেহ।”,,
MMD1067,"হাসিয়া কহিলা শূলী বীরভদ্র-শূরে;— “নিবার লঙ্কেশে, বীর!”",,
MMD1068,"মনোরথ-গতি, রাবণের কর্ণমূলে কহিলা গম্ভীরে বীরভদ্র;—“যাও ফিরি স্বর্ণলঙ্কাধামে, রক্ষোরাজ!",,
MMD1069,"হত রিপু, কি কাজ সমরে!”",,
MMD1070,স্বপ্নসম দেবদূত অদৃশ্য হইলা।,,
MMD1071,"সিংহনাদে শূরসিংহ আরোহিলা রথে; বাজিল রাক্ষস-বাদ্য, নাদিল গম্ভীরে রাক্ষস; পশিলা পুরে রক্ষ-অনীকিনী— রণবিজয়িনী ভীমা, চামুণ্ডা যেমতি রক্তবীজে নাশি দেবী, তাণ্ডবি উল্লাসে, অট্টহাসি রক্তাধরে, ফিরিলা নিনাদি, রক্তস্রোতে আর্দ্রদেহ!",,
MMD1072,"দেবদল মিলি স্তুতিলা সতীরে যথা, আনন্দে বন্দিলা বন্দীবৃন্দে রক্ষঃ-সেনা বিজয়-সঙ্গীতে!",,
MMD1073,"হেথা পরাভূত যুদ্ধে, মহা অভিমানে, সুরদলে সুরপতি গেলা সুরপুরে।",,
